Title,Description,Category,Author,Publish_Date
How to Be a Transformational Leader: 4 Things to Do,"You can be a transformational leader – i.e. someone who inspires others to do their best work – regardless of your position, if you model these four behaviors.",Productivity tips,Paul Petrone,"Feb 11, 2019"
How to Stay Positive at Work: 3 Helpful Strategies,Bailey-Hughes outlines 3 strategies for embracing a more positive mindset at work.,Career success tips,Paul Petrone,"Feb 11, 2019"
How to Set Goals That'll Inspire You to Do Your Best Work,"Because sometimes, S.M.A.R.T. goals aren't particularly smart.",Career success tips,Paul Petrone,"Feb 4, 2019"
The 32 New Skills You Can Now Learn on LinkedIn Learning,,New courses,Paul Petrone,"Feb 4, 2019"
Want to Know if Your Story is Good? Put It Through This Test,,Productivity tips,Paul Petrone,"Feb 4, 2019"
"Oriflame Wanted A Learning Platform that Fit Its Agile, Access...",See Oriflame's experience with LinkedIn Learning.,Customer stories,Elissa Bass,"Feb 1, 2019"
How to Quickly Create a Poll in Outlook (With Video),,Productivity tips,Jess Stratton,"Jan 30, 2019"
How to Build an Inclusive Culture: 5 Phrases to Avoid,Daisy Lovelace explains specific phrases you should use – and the ones you shouldn’t use – if you want to build an inclusive culture.,Productivity tips,Paul Petrone,"Jan 28, 2019"
How to Manage The Ultimate Productivity Killer: The Smartphone,,Productivity tips,Paul Petrone,"Jan 28, 2019"
The 28 New Skills You Can Now Learn on LinkedIn Learning,,New courses,Paul Petrone,"Jan 28, 2019"
Want Honest Feedback From Your Employees? Ask Them This,,Productivity tips,Paul Petrone,"Jan 21, 2019"
What To Do When You Are Talking With Someone – But They Are Lo...,"No, violence isn't the answer. Here's what to do when you are talking to someone while they are staring into a device.",Productivity tips,Paul Petrone,"Jan 21, 2019"
LinkedIn Learning Named a “Leader” by G2 Crowd With a 94% Cust...,"G2 Crowd names LinkedIn Learning a ""leader"" based on LinkedIn Learning reviews and 15 other data points. View the highlights of the report and compare LinkedIn Learning to other...",Learning and development,Bogdan Zlatkov 👈,"Jan 17, 2019"
3 Hacks for Surviving the World of Work as an Introvert,,Productivity tips,Paul Petrone,"Jan 14, 2019"
The 22 New Skills You Can Now Learn on LinkedIn Learning,"We added 22 new courses, to our course library, covering everything from storytelling with data to AWS for developers to scaling your startup.",Top skills and courses,Paul Petrone,"Jan 14, 2019"
Why Collaboration Breaks Down – And How to Avoid It,There are five main causes of collaboration breakdown. Here's how to avoid them.,Productivity tips,Paul Petrone,"Jan 14, 2019"
"A Creativity Hack: Solve Your Problem, But for Someone Else",,Productivity tips,Paul Petrone,"Jan 7, 2019"
How to Be More Persuasive at Work: The 3 Steps to a Yes,These steps will help reduce the risk in the other person's mind and make your case much more persuasive.,Productivity tips,Paul Petrone,"Jan 7, 2019"
The 22 New Skills You Can Now Learn on LinkedIn Learning,,New courses,Paul Petrone,"Jan 7, 2019"
“We Needed to Go From the Traditional to the Digital.” A Look ...,"AIA Singapore, one of the largest life insurance providers in Singapore, isn’t just focused on succeeding today. It’s focused on succeeding for the long-term.",Customer stories,Paul Petrone,"Jan 7, 2019"
The Skills Companies Need Most in 2019 – And How to Learn Them,,Top skills and courses,Paul Petrone,"Dec 31, 2018"
Why Creativity is the Most Important Skill in the World,,Top skills and courses,Paul Petrone,"Dec 31, 2018"
Our 10 Most Popular Blogs of the Year,,Career success tips,Paul Petrone,"Dec 24, 2018"
The 49 New Skills You Can Now Learn on LinkedIn Learning,,New courses,Paul Petrone,"Dec 24, 2018"
Gen Z Is Shaping a New Era of Learning: Here’s What you Should...,,Learning and development,Emily Poague,"Dec 18, 2018"
How LinkedIn Learning Helped This Management and IT Consulting...,,Customer stories,Elissa Bass,"Dec 18, 2018"
How to Make Smarter Decisions in Times of Change,,Career success tips,Paul Petrone,"Dec 17, 2018"
The 45 New Skills You Can Now Learn on LinkedIn Learning,,New courses,Paul Petrone,"Dec 17, 2018"
The 5 Most Up-and-Coming Jobs in the World – And How to Get Them,,Top skills and courses,Paul Petrone,"Dec 17, 2018"
13 Songs That Describe What it Means to Be a Manager,,Productivity tips,Paul Petrone,"Dec 10, 2018"
"Bosses, Here's How to Build Strong Rapport With Your Team",,Productivity tips,Paul Petrone,"Dec 10, 2018"
"Our Newest Feature, Just in Time for the Holidays: Gift a Course",,New courses,Paul Petrone,"Dec 10, 2018"
The 45 New Skills You Can Now Learn on LinkedIn Learning,,New courses,Paul Petrone,"Dec 10, 2018"
CPAs – Earn Your Continuing Professional Education (CPE) Units...,,New courses,Megan Russell,"Dec 3, 2018"
How to Boost Your Credibility: Avoid These 3 Common Phrases (W...,,Productivity tips,Paul Petrone,"Dec 3, 2018"
How to Make Your PowerPoint Stand Out: This Super Simple Zoom ...,,Career success tips,Jess Stratton,"Dec 3, 2018"
Fostering Team Creativity: 5 Proven Tactics (With Video),LinkedIn Learning Instructor Drew Boyd outlines how to help your team think more creatively. 5 tactics you can use to break your team out of its box.,Productivity tips,Paul Petrone,"Nov 26, 2018"
How to Be a Better Listener: The 6 Principles to Follow (With ...,LinkedIn Learning Instructor Dorie Clark outlines the six cornerstone principles of being a great listener.,Productivity tips,Paul Petrone,"Nov 26, 2018"
10 Free LinkedIn Learning Courses That'll Make You a Better Pr...,"These courses are taught by some of the most successful people in business, including Sheryl Sandberg, Reid Hoffman and Sallie Krawcheck.",Higher education,Paul Petrone,"Nov 19, 2018"
How to Deal With Conflict at Work & How to Avoid the Most Comm...,LinkedIn Learning Instructor Marlene Chism details a mistake to avoid when dealing with conflict and offers 2 best practices to take.,Productivity tips,Paul Petrone,"Nov 19, 2018"
"How LinkedIn Learning Keeps These ""On-the-Go"" Consultants Conn...",,Learning and development,Elissa Bass,"Nov 12, 2018"
"How to Build a ""Dream Team"" in 5 Steps",Learn from LinkedIn Influencer Shane Snow how to put together a truly innovative team that’ll drastically outperform a normal one.,Productivity tips,Paul Petrone,"Nov 12, 2018"
How to Turn a No Into a Yes: 3 Phrases You Should Use,,Productivity tips,Paul Petrone,"Nov 12, 2018"
Creating A Single Place for Employees to Discover All of Your ...,,New courses,Hari Srinivasan,"Nov 9, 2018"
How Learning Helps Casey Hackett Be The Manager He Aspires To Be,,Productivity tips,Paul Petrone,"Nov 5, 2018"
The Best Way to Give Feedback as a Manager,,Productivity tips,Paul Petrone,"Nov 5, 2018"
How L&D at Hewlett-Packard Enterprise Drove 1 Million Views of...,,Customer stories,Elissa Bass,"Oct 29, 2018"
How to Not be a Micromanager and Delegate Effectively,,Productivity tips,Paul Petrone,"Oct 29, 2018"
The 40 New Skills You Can Now Learn on LinkedIn Learning,,New courses,Paul Petrone,"Oct 29, 2018"
Want to Be a Servant Leader? Here's How to Start Your Day,,Productivity tips,Paul Petrone,"Oct 29, 2018"
How to Set Clear Expectations as a Manager – It Comes Down Vision,"If you set a vision for your team, everything will become clearer. Learn how in this article.",Productivity tips,Paul Petrone,"Oct 22, 2018"
"The ""Most Frustrating"" Thing a Boss Can Do Is...",,Productivity tips,Paul Petrone,"Oct 22, 2018"
‘It Was a No-Brainer.’ Why Softchoice Invested in LinkedIn Lea...,,Learning and development,Paul Petrone,"Oct 22, 2018"
How to Add Geographic and Stock Data in Excel Automatically (V...,Now you can have geography and stock data automatically upload into your spreadsheets.,Productivity tips,Jess Stratton,"Oct 21, 2018"
How to Shape What People Say About You – When You Aren't in th...,This is an important skill to learn – because the big decisions in your career are made when you aren't in the room.,Career success tips,Greg Lewis,"Oct 15, 2018"
The 5 Best New Features of Photoshop CC 2019 (Video),Learn the five best new features in Adobe Photoshop CC 2019.,Productivity tips,Deke McClelland,"Oct 15, 2018"
The Newest Version of Adobe CC Just Launched. Learn it Here.,,New courses,James Fritz,"Oct 15, 2018"
LinkedIn Learning is Helping Organizations Bridge Skills Gaps ...,,New courses,Hari Srinivasan,"Oct 10, 2018"
Why Your Coffee Break Can Make You More Productive,"If timed well, periodic short breaks at work can make you far more productive throughout the day.",Productivity tips,Paul Petrone,"Oct 8, 2018"
The 3 Most Useful New Features in Microsoft Word,See the most useful new features in Microsoft Word.,Productivity tips,Garrick Chow,"Oct 2, 2018"
How BCD Travel Used LinkedIn Learning to Help Build Their Empl...,,Customer stories,Paul Petrone,"Oct 1, 2018"
How to Get Promoted – The Complete Guide to Moving Up,"This post walks you through the whole process, from the qualities you need to exhibit to be considered for a promotion to the best way to ask for a promotion.",Productivity tips,Paul Petrone,"Oct 1, 2018"
The 61 New Skills You Can Now Learn on LinkedIn Learning,,New courses,Paul Petrone,"Oct 1, 2018"
3 New Features in Excel 2019 That You'll Actually Use,Learn how to use the three most useful features in Excel 2019 – all of which are also on Excel 365. With video.,Productivity tips,Jess Stratton,"Sep 26, 2018"
Office 2019 Has Launched. Learn it Here.,"See our new courses that cover the latest versions of Microsoft Excel, Word, PowerPoint and Outlook.",New courses,Marjorie McAneny Page,"Sep 24, 2018"
How to Use The Coolest New Feature in iOS 12: Screen Time,Learn how to see your usage stats and schedule downtime with this new feature for iPhones and iPads.,Productivity tips,Garrick Chow,"Sep 17, 2018"
The Age of AI is Here. Here's How to Thrive In It.,"Your playbook for thriving in a world of robots and AI, including the specific skills you should master.",Career success tips,Paul Petrone,"Sep 17, 2018"
The Areas Professionals Want Help In the Most,,Productivity tips,Paul Petrone,"Sep 17, 2018"
How to Best Deal with Pressure at Work,,Productivity tips,Paul Petrone,"Sep 10, 2018"
"What You Should Do if Someone Takes Credit For Your Work (No, ...","If someone takes credit for your work, you need to confront them about it. Here three steps on how to do exactly that.",Productivity tips,Paul Petrone,"Sep 10, 2018"
3 Actions You Can Take Right Now to Become More Organized,Because being organized is a huge competitive advantage in the workplace.,Productivity tips,Paul Petrone,"Sep 3, 2018"
How LinkedIn Learning Helped Kellogg Advance Toward an Integra...,See how Kellogg used LinkedIn Learning to drive a culture change at the company.,Customer stories,Paul Petrone,"Sep 3, 2018"
Why You Should Spend More Time Doing Nothing,There's tremendous benefits to occasionally doing nothing.,Productivity tips,Paul Petrone,"Sep 3, 2018"
"At Vision Critical, Employees Mold LinkedIn Learning to Fit Th...",,Customer stories,Elissa Bass,"Aug 27, 2018"
ProSphere’s Online Learning Usage Has Quadrupled in 4 Months. ...,,Customer stories,Paul Petrone,"Aug 27, 2018"
The 39 New Skills You Can Now Learn on LinkedIn Learning,,New courses,Paul Petrone,"Aug 27, 2018"
"At TomTom, LinkedIn Learning Pays for Itself",,Customer stories,Elissa Bass,"Aug 20, 2018"
The 10 Most Popular Online Courses of 2018,See the most popular courses of 2018 on LinkedIn Learning.,New courses,Chelsea Cook,"Aug 20, 2018"
Why It's Really Good to Be a Data Scientist Right Now,"LinkedIn data shows, as of August 2018, America is short 151,171 people with data science skills.",Productivity tips,Paul Petrone,"Aug 20, 2018"
4 Challenges That Stop Us From Coaching Our Employees – And Ho...,,Productivity tips,Paul Petrone,"Aug 13, 2018"
7 Online Courses That'll Help You Get Promoted,These courses will help you get that position you've been hoping for.,Career success tips,Paul Petrone,"Aug 13, 2018"
"Learning Is In High Demand, and It’s Time to Make It Personal",,Learning and development,Alyson DeMaso,"Aug 7, 2018"
How To Calm Your Nerves Before a Big Presentation,LinkedIn Learning Instructor Laura Bergells details two techniques for calming your nerves before a presentation,Productivity tips,Paul Petrone,"Aug 6, 2018"
How to Manage Someone Who is Really Defensive,A playbook for managing someone who gets really defensive over any feedback.,Productivity tips,Paul Petrone,"Aug 6, 2018"
Update: LinkedIn Learning and Libraries,,Learning and development,Mike Derezin,"Aug 2, 2018"
Microsoft Teams is Now Free. Here’s Why That’s Great News.,What separates Microsoft Teams from the many other collaboration tools out there? It's really easy to adopt and use.,Productivity tips,Jess Stratton,"Aug 1, 2018"
The 3 Essential Rules for Being a Great Leader,"While they aren’t the end-all be-all, these three rules are the foundation of great leadership.",Productivity tips,Paul Petrone,"Jul 30, 2018"
The Best Questions to Ask the Interviewer in a Job Interview,,Job seeking tips,Paul Petrone,"Jul 30, 2018"
How LinkedIn Learning is Helping Quadrotech Stay Ahead in the ...,"Quadrotech's CEO on LinkedIn Learning: ""I am thrilled.""",Customer stories,Paul Petrone,"Jul 23, 2018"
How to Deal with a Negative Person at Work,,Productivity tips,Paul Petrone,"Jul 23, 2018"
The 6 Best Ways to Close a Presentation,"In her LinkedIn Learning course Public Speaking Foundations, Instructor Laura Bergells lists six great options on how to end a presentation.",Productivity tips,Paul Petrone,"Jul 16, 2018"
The 5 Google Apps I Use to Better Run my Household,,Productivity tips,Jess Stratton,"Jul 9, 2018"
What Wellness at Work Really Means and Why it Matters,,Career success tips,Paul Petrone,"Jul 9, 2018"
3 Common Mistakes Leaders Make Investing Their Energy,Top on the list – they take the peanut butter approach.,Productivity tips,Paul Petrone,"Jun 25, 2018"
5 Tips That'll Make You a Better Negotiator,Negotiation Expert Lisa Gates lists 5 “hacks” that’ll make you a better negotiator.,Productivity tips,Paul Petrone,"Jun 25, 2018"
How PinnacleART Proved the ROI of Online Learning: An Impact S...,,Customer stories,Paul Petrone,"Jun 25, 2018"
How to use Emergency SOS on Your iPhone to Quickly Call 911,There are a few ways to do it.,Productivity tips,Garrick Chow,"Jun 18, 2018"
